hidden_layer_sizes,max_epoch,learning_rate_init,max_error,mean_accuracy,train_accuracy,test_accuracy
"[30, 20, 1]",100,0.1,0.01,0.9419810588417947,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",100,0.1,0.05,0.9419810588417947,0.9736263736263736,0.9824561403508771
"[30, 20, 1]",100,0.1,0.1,0.9419810588417947,0.9582417582417583,0.9824561403508771
"[30, 20, 1]",500,0.1,0.01,0.9419810588417947,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",500,0.1,0.05,0.9419810588417947,0.9736263736263736,0.9824561403508771
"[30, 20, 1]",500,0.1,0.1,0.9419810588417947,0.9582417582417583,0.9824561403508771
"[30, 20, 1]",1000,0.1,0.01,0.9419810588417947,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",1000,0.1,0.05,0.9419810588417947,0.9736263736263736,0.9824561403508771
"[30, 20, 1]",1000,0.1,0.1,0.9419810588417947,0.9582417582417583,0.9824561403508771
"[30, 30, 20, 1]",100,0.1,0.01,0.9332091290172333,0.989010989010989,0.9824561403508771
"[30, 30, 20, 1]",100,0.1,0.05,0.9332091290172333,0.9692307692307692,0.9736842105263158
"[30, 30, 20, 1]",100,0.1,0.1,0.9332091290172333,0.9296703296703297,0.9649122807017544
"[30, 30, 20, 1]",500,0.1,0.01,0.9332091290172333,0.989010989010989,0.9824561403508771
"[30, 30, 20, 1]",500,0.1,0.05,0.9332091290172333,0.9692307692307692,0.9736842105263158
"[30, 30, 20, 1]",500,0.1,0.1,0.9332091290172333,0.9296703296703297,0.9649122807017544
"[30, 30, 20, 1]",1000,0.1,0.01,0.9332091290172333,0.989010989010989,0.9824561403508771
"[30, 30, 20, 1]",1000,0.1,0.05,0.9332091290172333,0.9692307692307692,0.9736842105263158
"[30, 30, 20, 1]",1000,0.1,0.1,0.9332091290172333,0.9296703296703297,0.9649122807017544
"[30, 20, 1]",100,0.2,0.01,0.9507685142058687,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",100,0.2,0.05,0.9507685142058687,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",100,0.2,0.1,0.9507685142058687,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",500,0.2,0.01,0.9507685142058687,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",500,0.2,0.05,0.9507685142058687,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",500,0.2,0.1,0.9507685142058687,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",1000,0.2,0.01,0.9507685142058687,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",1000,0.2,0.05,0.9507685142058687,0.9824175824175824,0.9824561403508771
"[30, 20, 1]",1000,0.2,0.1,0.9507685142058687,0.9824175824175824,0.9824561403508771
"[30, 30, 20, 1]",100,0.2,0.01,0.9542928116752056,0.9934065934065934,0.9824561403508771
"[30, 30, 20, 1]",100,0.2,0.05,0.9542928116752056,0.9736263736263736,0.9649122807017544
"[30, 30, 20, 1]",100,0.2,0.1,0.9542928116752056,0.9560439560439561,0.9736842105263158
